Loop View,Loop ID,Loop Name,Loop Status,Compliance Status,Tags,Created Date,Closing Date,Expiration Date,Listing Date,Joined Date,Offer Date,Address,Price,Created By,Created By Admin,Agents,"Property Address / City, State/Prov, Zip/Postal Code (Address 2)","Property Address / Street Number, Street Name, Unit Number (Address 1)",Car / other_terms,Contract Dates / Closing Date,Contract Dates / Contract Agreement Date,Financials / Earnest Money Amount,Financials / Earnest Money Held By,Financials / Purchase/Sale Price,Financials / Sale Commission Rate,Financials / Sale Commission Split $ - Buy Side,Financials / Sale Commission Split $ - Sell Side,Financials / Sale Commission Split % - Sell Side,Financials / Sale Commission Total,Geographic Description / Legal Description,Lead Source / Lead Source,Listing Information / Current Price,Listing Information / Expiration Date,Listing Information / Homeowner's Association Dues,Listing Information / Listing Date,Listing Information / Original Price,Listing Information / Property Excludes,Listing Information / Remarks,Offer Dates / Occupancy Date,Property / Bathrooms,Property / Bedrooms,Property / Lot Size,Property / Square Footage,Property / Type,Property / Year Built,Property Address / City,Property Address / Country,Property Address / County,Property Address / Full Address,Property Address / MLS Number,Property Address / Parcel/Tax ID,Property Address / State/Prov,Property Address / Street Name,Property Address / Street Number,Property Address / Unit Number,Property Address / Zip/Postal Code,Referral / LEAD SOURCE,Referral / Referral %,Referral / Referral Source
305673529,76037754,"36 Neponset Ave # 1, Boston MA 02131",Under Contract,Returned to Agent,,2025-10-30,,,2025-10-29,2025-10-30,,,0,Drew Bryant,true,,,"36 Neponset Ave, 1",Yes w/ Restrictions,,,,,,,.00,.00,,,,Referral,599900,,270,10/29/2025,,,,,1,3,,1121,Condo,1920,Boston,USA,Suffolk,"36 Neponset Ave, 1, Boston, MA 02131",73448942,"W:19 P:04281 S:002,1386827",MA,Neponset Ave,36,1,02131,,,
301034238,49698359,"5841 N Marble Top Rd, Chickamauga, GA 30707",Active Listing,Admin Review Needed,Ready for closing|Max personal,2025-08-27,,,,2025-08-27,,,0,Drew Bryant,false,,,5841 N Marble Top Rd,,,,,,,4.5,,,,15000,,Referral,,,,,,,,,,,,,,,Chickamauga,,Walker,,119349,0263 012A,GA,N Marble Top Rd,5841,,30707,,,
307987650,76561680,"105 N Forbes Ave, Madrid NE 69150",Archived,,,2025-12-08,,,2025-07-14,2025-12-08,,,0,Drew Bryant,false,,,105 N Forbes Ave,,,,,,,,,,,,,,260000,,,07/14/2025,,,,,2,4,14000,3584,SingleFamily,1949,Madrid,USA,31135,,11549307,,NE,N Forbes Ave,105,,69150,,,
300357244,74826789,"15891 Lakeview Dr, Buchanan MI 49107",Active Listing,Returned to Agent,,2025-08-19,,,2025-07-01,2025-08-19,,,0,Drew Bryant,false,,,15891 Lakeview Dr,,,,,,,,.00,.00,,,LOT 47 & 48 BLK 1 CLEAR LAKE WOODS & LOTS 14 & 15 BLK 4 CLEAR LAKE WOODS,Referral,799000,,,07/01/2025,,,All information is gathered to the best of the listing agents ability. Buyers agent to verify.Contact Tom with any questions.,,3,3,17741,2100,SingleFamily,1998,Buchanan,USA,Berrien,"15891 Lakeview Dr, Buchanan, MI 49107",25032071,110611800047000,MI,Lakeview Dr,15891,,49107,,,
303110666,75454343,"5600 Newton St, Hyattsville MD 20784",Active Listing,Returned to Agent,,2025-09-24,,,,2025-09-24,,,0,Drew Bryant,true,,,5600 Newton St,,,,,,,,.00,.00,,,,Referral,113000,,,,,,,,,,7615,,VacantLand,,Hyattsville,USA,PRINCE GEORGES,,MDPG2146950,17020150649,MD,Newton St,5600,,20784,,,
288878761,72236508,"17 N 15th St, Del Haven NJ 08251",Under Contract,Returned to Agent,linkin park dev,2025-04-02,,,2024-07-03,2025-04-02,,,0,Drew Bryant,true,,"Del Haven, NJ 08251",17 N 15th St,,,,,,,,.00,.00,,,,Returning Client,449000,,,07/03/2024,,,,,1,2,9000,1336,SingleFamily,1960,Del Haven,USA,Cape May,,241961,,NJ,N 15th St,17,,08251,,,
284303341,71173334,"10080 S Ice House Canyon Rd, Globe AZ 85501",Active Listing,Returned to Agent,sherwood forest,2025-02-05,,2025-02-20,2024-07-05,2025-02-05,,,1000000,Drew Bryant,false,,,10080 S Ice House Canyon Rd,,,,,,1000000,300000,.00,.00,5,30000,,Referral,359000,02/20/2025,,07/05/2024,200000,,,,2,3,1,2688,SingleFamily,1983,Globe,USA,Gila,,1806406,10221003G,AZ,S Ice House Canyon Rd,10080,,85501,,,
308442818,76665071,"40110 Owens Ct, Fenwick Island DE 19944",Active Listing,Returned to Agent,,2025-12-16,,,,2025-12-16,,,5290000,Drew Bryant,false,,,40110 Owens Ct,,,,,,5290000,4,.00,.00,,,,Referral,5874000,,3000,,,,,,7,6,13504,5303,SingleFamily,1993,Fenwick Island,USA,SUSSEX,"40110 Owens Ct, Fenwick Island, DE 19944",DESU2072130,13422.007.06,DE,Owens Ct,40110,,19944,,,
305432213,28123678,"12739 Curtis Rd, Grass Lake, MI, USA",Sold,,Westside condos,2025-10-27,,,,2025-10-27,,,0,Drew Bryant,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass Lake Charter Township,USA,Jackson ,,,,MI,Curtis Road,12739,,49240,,,
307854328,76489567,"35 Lafayette Dr, Napoleon, OH 43545",Active Listing,Returned to Agent,,2025-12-05,,,2025-12-01,2025-12-05,,,40000,Drew Bryant,false,,,35 Lafayette Dr,,,,,,40000,,.00,.00,,,,Referral,175000,,,12/01/2025,,,,,2,3,9583,1252,SingleFamily,1977,Napoleon,USA,Henry,"35 Lafayette Dr, Napoleon, OH 43545",10001915,41229520.0080,OH,Lafayette Dr,35,,43545,,,
