loopId,loopViewUrl,loopName,loopStatus,createdDate,closingDate,listingDate,offerDate,address,price,propertyType,bedrooms,bathrooms,squareFootage,city,state,county,leadSource,earnestMoney,salePrice,commissionRate,commissionTotal,agents,createdBy,buySideCommission,sellSideCommission,companyDollar,referralSource,referralPercentage,complianceStatus,tags,originalPrice,yearBuilt,lotSize,subdivision
DL-001,https://dotloop.com/loop/001,123 Oak Street - Residential,Closed,2024-01-05,2024-02-15,2024-01-01,2024-01-10,123 Oak Street,425000,Single Family,4,2.5,2400,Austin,TX,Travis,MLS,8500,425000,0.06,25500,Alice Johnson,Alice Johnson,12750,12750,0,Direct,0,Compliant,residential,425000,2005,0.25,Westlake Hills
DL-002,https://dotloop.com/loop/002,456 Maple Avenue - Residential,Closed,2024-01-08,2024-03-01,2024-01-02,2024-01-12,456 Maple Avenue,520000,Single Family,5,3,3100,Austin,TX,Travis,MLS,10400,520000,0.06,31200,Bob Smith,Bob Smith,15600,15600,0,Direct,0,Compliant,residential,520000,2010,0.35,Westlake Hills
DL-003,https://dotloop.com/loop/003,789 Pine Road - Condo,Closed,2024-01-10,2024-02-28,2024-01-05,2024-01-15,789 Pine Road,285000,Condo,2,2,1400,Austin,TX,Travis,MLS,5700,285000,0.06,17100,Carol Williams,Carol Williams,8550,8550,0,Direct,0,Compliant,residential,285000,2015,0,Zilker District
DL-004,https://dotloop.com/loop/004,321 Elm Street - Residential,Closed,2024-01-12,2024-03-10,2024-01-08,2024-01-18,321 Elm Street,650000,Single Family,4,3.5,3500,Austin,TX,Travis,MLS,13000,650000,0.06,39000,David Brown,David Brown,19500,19500,0,Direct,0,Compliant,residential,650000,2000,0.5,Downtown
DL-005,https://dotloop.com/loop/005,654 Cedar Lane - Residential,Closed,2024-01-15,2024-03-05,2024-01-10,2024-01-20,654 Cedar Lane,495000,Single Family,4,2,2800,Austin,TX,Travis,MLS,9900,495000,0.06,29700,Emma Davis,Emma Davis,14850,14850,0,Direct,0,Compliant,residential,495000,2008,0.3,South Congress
DL-006,https://dotloop.com/loop/006,987 Birch Way - Townhome,Closed,2024-01-18,2024-03-15,2024-01-12,2024-01-22,987 Birch Way,375000,Townhome,3,2.5,2200,Austin,TX,Travis,MLS,7500,375000,0.06,22500,Frank Miller,Frank Miller,11250,11250,0,Direct,0,Compliant,residential,375000,2012,0.15,Mueller
DL-007,https://dotloop.com/loop/007,147 Spruce Court - Residential,Closed,2024-01-20,2024-03-20,2024-01-15,2024-01-25,147 Spruce Court,575000,Single Family,5,3,3200,Austin,TX,Travis,MLS,11500,575000,0.06,34500,Grace Wilson,Grace Wilson,17250,17250,0,Direct,0,Compliant,residential,575000,2006,0.4,Barton Hills
DL-008,https://dotloop.com/loop/008,258 Walnut Drive - Condo,Closed,2024-01-22,2024-03-25,2024-01-18,2024-01-28,258 Walnut Drive,320000,Condo,2,2,1600,Austin,TX,Travis,MLS,6400,320000,0.06,19200,Henry Moore,Henry Moore,9600,9600,0,Direct,0,Compliant,residential,320000,2018,0,East Austin
DL-009,https://dotloop.com/loop/009,369 Ash Boulevard - Residential,Closed,2024-01-25,2024-04-01,2024-01-20,2024-02-01,369 Ash Boulevard,710000,Single Family,5,4,3800,Austin,TX,Travis,MLS,14200,710000,0.06,42600,Iris Taylor,Iris Taylor,21300,21300,0,Direct,0,Compliant,residential,710000,2002,0.55,Tarrytown
DL-010,https://dotloop.com/loop/010,741 Hickory Lane - Residential,Closed,2024-01-28,2024-04-05,2024-01-22,2024-02-05,741 Hickory Lane,455000,Single Family,4,2.5,2600,Austin,TX,Travis,MLS,9100,455000,0.06,27300,Jack Anderson,Jack Anderson,13650,13650,0,Direct,0,Compliant,residential,455000,2009,0.28,Lake Travis
DL-011,https://dotloop.com/loop/011,852 Sycamore Street - Townhome,Closed,2024-02-01,2024-04-10,2024-01-25,2024-02-08,852 Sycamore Street,395000,Townhome,3,2.5,2300,Austin,TX,Travis,MLS,7900,395000,0.06,23700,Alice Johnson,Alice Johnson,11850,11850,0,Direct,0,Compliant,residential,395000,2014,0.18,Domain
DL-012,https://dotloop.com/loop/012,963 Dogwood Drive - Residential,Closed,2024-02-03,2024-04-15,2024-01-28,2024-02-10,963 Dogwood Drive,625000,Single Family,4,3,3300,Austin,TX,Travis,MLS,12500,625000,0.06,37500,Bob Smith,Bob Smith,18750,18750,0,Direct,0,Compliant,residential,625000,2007,0.45,Allandale
DL-013,https://dotloop.com/loop/013,159 Magnolia Court - Condo,Closed,2024-02-05,2024-04-20,2024-02-01,2024-02-12,159 Magnolia Court,305000,Condo,2,2,1500,Austin,TX,Travis,MLS,6100,305000,0.06,18300,Carol Williams,Carol Williams,9150,9150,0,Direct,0,Compliant,residential,305000,2016,0,Central Austin
DL-014,https://dotloop.com/loop/014,357 Azalea Lane - Residential,Closed,2024-02-08,2024-04-25,2024-02-03,2024-02-15,357 Azalea Lane,545000,Single Family,4,3,2900,Austin,TX,Travis,MLS,10900,545000,0.06,32700,David Brown,David Brown,16350,16350,0,Direct,0,Compliant,residential,545000,2011,0.32,Clarksville
DL-015,https://dotloop.com/loop/015,468 Camellia Street - Residential,Closed,2024-02-10,2024-05-01,2024-02-05,2024-02-18,468 Camellia Street,685000,Single Family,5,3.5,3600,Austin,TX,Travis,MLS,13700,685000,0.06,41100,Emma Davis,Emma Davis,20550,20550,0,Direct,0,Compliant,residential,685000,2003,0.5,Pemberton Heights
DL-016,https://dotloop.com/loop/016,579 Iris Drive - Townhome,Closed,2024-02-12,2024-05-05,2024-02-08,2024-02-20,579 Iris Drive,415000,Townhome,3,2.5,2400,Austin,TX,Travis,MLS,8300,415000,0.06,24900,Frank Miller,Frank Miller,12450,12450,0,Direct,0,Compliant,residential,415000,2013,0.2,Riverside
DL-017,https://dotloop.com/loop/017,680 Peony Way - Residential,Closed,2024-02-15,2024-05-10,2024-02-10,2024-02-22,680 Peony Way,595000,Single Family,5,3,3300,Austin,TX,Travis,MLS,11900,595000,0.06,35700,Grace Wilson,Grace Wilson,17850,17850,0,Direct,0,Compliant,residential,595000,2009,0.38,Spicewood Springs
DL-018,https://dotloop.com/loop/018,791 Violet Court - Condo,Closed,2024-02-18,2024-05-15,2024-02-12,2024-02-25,791 Violet Court,340000,Condo,2,2,1700,Austin,TX,Travis,MLS,6800,340000,0.06,20400,Henry Moore,Henry Moore,10200,10200,0,Direct,0,Compliant,residential,340000,2017,0,North Austin
