Loop View,Loop ID,Loop Name,Loop Status,Compliance Status,Tags,Created Date,Closing Date,Expiration Date,Listing Date,Joined Date,Offer Date,Address,Price,Created By,Created By Admin,Agents,Property Address / City,Property Address / Country,Property Address / County,Property Address / State/Prov,Property Address / Street Name,Property Address / Street Number,Property Address / Zip/Postal Code,Contract Dates / Closing Date,Contract Dates / Contract Agreement Date,Financials / Earnest Money Amount,Financials / Earnest Money Held By,Financials / Purchase/Sale Price,Financials / Sale Commission Rate,Financials / Sale Commission Split $ - Buy Side,Financials / Sale Commission Split $ - Sell Side,Financials / Sale Commission Split % - Buy Side,Financials / Sale Commission Split % - Sell Side,Financials / Sale Commission Total,Listing Information / Current Price,Listing Information / Original Price,Listing Information / Listing Date,Property / Bathrooms,Property / Bedrooms,Property / Lot Size,Property / Square Footage,Property / Type,Property / Year Built,Referral / Referral %,Referral / Referral Source,Company Information / office managing broker,Net to Office
300000000,300000000,"9212 Oak Ave, Sandy Springs, GA 30000",Under Contract,Pending,,2025-11-05,2026-03-03,2026-05-04,2025-11-05,2025-11-05,2026-01-13,"9212 Oak Ave, Sandy Springs, GA 30000","$667,900.00",Christopher Harris,false,Christopher Harris,Sandy Springs,USA,Fulton,GA,"Oak Ave,",9212,30000,2026-03-03,2026-01-13,"$6,679.00",Broker,"$667,900.00",3%,"$20,037.00","$20,037.00",3%,3%,"$40,074.00","$667,900.00","$695,900.00",11/05/2025,5,3,34255,3172,Townhouse,2019,0%,Realtor.com,John Broker,"$8,014.80"
300000001,300000001,"384 Main St, Alpharetta, GA 30000",Sold,Approved,Top Producer,2025-07-01,2025-08-08,2025-12-28,2025-07-01,2025-07-01,2025-07-09,"384 Main St, Alpharetta, GA 30000","$968,900.00",William Jackson,false,William Jackson,Alpharetta,USA,Fulton,GA,"Main St,",384,30000,2025-08-08,2025-07-09,"$9,689.00",Broker,"$968,900.00",3%,,"$29,067.00",0%,3%,"$29,067.00","$968,900.00","$995,900.00",07/01/2025,4,5,30427,3018,Single Family,2004,0%,Direct Mail,John Broker,"$5,813.40"
300000002,300000002,"7219 Oak Ave, Marietta, GA 30000",Active Listings,Pending,,2025-07-01,,2025-12-28,2025-07-01,2025-07-01,,"7219 Oak Ave, Marietta, GA 30000","$290,900.00",Elizabeth White,false,Elizabeth White,Marietta,USA,Fulton,GA,"Oak Ave,",7219,30000,,,"$2,909.00",Broker,"$290,900.00",3%,,"$8,727.00",0%,3%,"$8,727.00","$290,900.00","$290,900.00",07/01/2025,3,3,28724,4397,Condo,2009,0%,Walk-in,John Broker,"$1,745.40"
300000003,300000003,"9475 Washington Ave, Marietta, GA 30000",Under Contract,Pending,Top Producer,2026-01-19,2026-03-08,2026-07-18,2026-01-19,2026-01-19,2026-01-28,"9475 Washington Ave, Marietta, GA 30000","$915,900.00",David Martinez,false,David Martinez,Marietta,USA,Fulton,GA,"Washington Ave,",9475,30000,2026-03-08,2026-01-28,"$9,159.00",Broker,"$915,900.00",3%,,"$27,477.00",0%,3%,"$27,477.00","$915,900.00","$915,900.00",01/19/2026,3,4,16157,2936,Multi-Family,2018,25%,Referral,John Broker,"$5,495.40"
300000004,300000004,"3616 Lakeview Dr, Alpharetta, GA 30000",Active Listings,Pending,,2025-04-28,,2025-10-25,2025-04-28,2025-04-28,,"3616 Lakeview Dr, Alpharetta, GA 30000","$643,900.00",Ashley Martin,false,Ashley Martin,Alpharetta,USA,Fulton,GA,"Lakeview Dr,",3616,30000,,,"$6,439.00",Broker,"$643,900.00",3%,"$19,317.00",,3%,0%,"$19,317.00","$643,900.00","$672,900.00",04/28/2025,2,5,16283,1953,Multi-Family,2016,0%,Realtor.com,John Broker,"$3,863.40"
300000005,300000005,"3706 Cedar Blvd, Lawrenceville, GA 30000",Active Listings,Pending,Top Producer,2025-02-10,,2025-08-09,2025-02-10,2025-02-10,,"3706 Cedar Blvd, Lawrenceville, GA 30000","$1,309,000.00",Michael Brown,false,Michael Brown,Lawrenceville,USA,Fulton,GA,"Cedar Blvd,",3706,30000,,,"$13,090.00",Broker,"$1,309,000.00",3%,"$39,270.00",,3%,0%,"$39,270.00","$1,309,000.00","$1,326,000.00",02/10/2025,5,6,35804,3788,Single Family,2000,0%,Realtor.com,John Broker,"$7,854.00"
300000006,300000006,"8645 Pine Ln, Lawrenceville, GA 30000",Sold,Approved,,2025-03-07,2025-06-29,2025-09-03,2025-03-07,2025-03-07,2025-05-24,"8645 Pine Ln, Lawrenceville, GA 30000","$98,900.00",Robert Anderson,false,Robert Anderson,Lawrenceville,USA,Fulton,GA,"Pine Ln,",8645,30000,2025-06-29,2025-05-24,$989.00,Broker,"$98,900.00",3%,,"$2,967.00",0%,3%,"$2,967.00","$98,900.00","$116,900.00",03/07/2025,3,6,11413,2022,Land,1991,0%,Open House,John Broker,$593.40
300000007,300000007,"541 Lakeview Dr, Roswell, GA 30000",Under Contract,Pending,,2025-09-14,2025-11-19,2026-03-13,2025-09-14,2025-09-14,2025-09-27,"541 Lakeview Dr, Roswell, GA 30000","$172,000.00",Lisa Thomas,false,Lisa Thomas,Roswell,USA,Fulton,GA,"Lakeview Dr,",541,30000,2025-11-19,2025-09-27,"$1,720.00",Broker,"$172,000.00",3%,,"$5,160.00",0%,3%,"$5,160.00","$172,000.00","$190,000.00",09/14/2025,4,4,6747,4305,Land,1996,0%,Facebook Ads,John Broker,"$1,032.00"
300000008,300000008,"9269 Lakeview Dr, Sandy Springs, GA 30000",Under Contract,Pending,,2026-01-30,2026-04-05,2026-07-29,2026-01-30,2026-01-30,2026-02-24,"9269 Lakeview Dr, Sandy Springs, GA 30000","$592,900.00",James Wilson,false,James Wilson,Sandy Springs,USA,Fulton,GA,"Lakeview Dr,",9269,30000,2026-04-05,2026-02-24,"$5,929.00",Broker,"$592,900.00",3%,"$17,787.00",,3%,0%,"$17,787.00","$592,900.00","$631,900.00",01/30/2026,4,3,12746,3845,Townhouse,2007,0%,Zillow,John Broker,"$3,557.40"
300000009,300000009,"4928 Cedar Blvd, Marietta, GA 30000",Under Contract,Pending,,2025-11-29,2026-03-24,2026-05-28,2025-11-29,2025-11-29,2026-02-03,"4928 Cedar Blvd, Marietta, GA 30000","$199,900.00",Matthew Thompson,false,Matthew Thompson,Marietta,USA,Fulton,GA,"Cedar Blvd,",4928,30000,2026-03-24,2026-02-03,"$1,999.00",Broker,"$199,900.00",3%,,"$5,997.00",0%,3%,"$5,997.00","$199,900.00","$224,900.00",11/29/2025,4,4,28974,3112,Condo,2021,0%,Facebook Ads,John Broker,"$1,199.40"
300000010,300000010,"7721 Pine Ln, Decatur, GA 30000",Sold,Approved,,2025-05-24,2025-07-23,2025-11-20,2025-05-24,2025-05-24,2025-06-05,"7721 Pine Ln, Decatur, GA 30000","$642,900.00",Amanda Garcia,false,Amanda Garcia,Decatur,USA,Fulton,GA,"Pine Ln,",7721,30000,2025-07-23,2025-06-05,"$6,429.00",Broker,"$642,900.00",3%,"$19,287.00",,3%,0%,"$19,287.00","$642,900.00","$667,900.00",05/24/2025,3,6,18492,2605,Townhouse,1990,0%,Realtor.com,John Broker,"$3,857.40"
300000011,300000011,"2483 Washington Ave, Alpharetta, GA 30000",Sold,Approved,Top Producer,2025-09-04,2025-12-30,2026-03-03,2025-09-04,2025-09-04,2025-11-16,"2483 Washington Ave, Alpharetta, GA 30000","$994,900.00",Ashley Martin,false,Ashley Martin,Alpharetta,USA,Fulton,GA,"Washington Ave,",2483,30000,2025-12-30,2025-11-16,"$9,949.00",Broker,"$994,900.00",3%,"$29,847.00",,3%,0%,"$29,847.00","$994,900.00","$994,900.00",09/04/2025,5,6,38550,2464,Multi-Family,1987,0%,Open House,John Broker,"$5,969.40"
